1,1
2,4
3,9
4,16
5,25
6,36
7,49
8,64
9,81
10,1
11,2
12,5
13,10
14,17
15,26
16,37
17,50
18,65
19,82
20,4
21,5
22,8
23,13
24,20
25,29
26,40
27,53
28,68
29,85
30,9
31,10
32,13
33,18
34,25
35,34
36,45
37,58
38,73
39,90
40,16
41,17
42,20
43,25
44,32
45,41
46,52
47,65
48,80
49,97
50,25
51,26
52,29
53,34
54,41
55,50
56,61
57,74
58,89
59,106
60,36
61,37
62,40
63,45
64,52
65,61
66,72
67,85
68,100
69,117
70,49
71,50
72,53
73,58
74,65
75,74
76,85
77,98
78,113
79,130
80,64
81,65
82,68
83,73
84,80
85,89
86,100
87,113
88,128
89,145
90,81
91,82
92,85
93,90
94,97
95,106
96,117
97,130
98,145
99,162
100,1
101,2
102,5
103,10
104,17
105,26
106,37
107,50
108,65
109,82
110,2
111,3
112,6
113,11
114,18
115,27
116,38
117,51
118,66
119,83
120,5
121,6
122,9
123,14
124,21
125,30
126,41
127,54
128,69
129,86
130,10
131,11
132,14
133,19
134,26
135,35
136,46
137,59
138,74
139,91
140,17
141,18
142,21
143,26
144,33
145,42
146,53
147,66
148,81
149,98
150,26
151,27
152,30
153,35
154,42
155,51
156,62
157,75
158,90
159,107
160,37
161,38
162,41
163,46
164,53
165,62
166,73
167,86
168,101
169,118
170,50
171,51
172,54
173,59
174,66
175,75
176,86
177,99
178,114
179,131
180,65
181,66
182,69
183,74
184,81
185,90
186,101
187,114
188,129
189,146
190,82
191,83
192,86
193,91
194,98
195,107
196,118
197,131
198,146
199,163
200,4
201,5
202,8
203,13
204,20
205,29
206,40
207,53
208,68
209,85
210,5
211,6
212,9
213,14
214,21
215,30
216,41
217,54
218,69
219,86
220,8
221,9
222,12
223,17
224,24
225,33
226,44
227,57
228,72
229,89
230,13
231,14
232,17
233,22
234,29
235,38
236,49
237,62
238,77
239,94
240,20
241,21
242,24
243,29
244,36
245,45
246,56
247,69
248,84
249,101
250,29
251,30
252,33
253,38
254,45
255,54
256,65
257,78
258,93
259,110
260,40
261,41
262,44
263,49
264,56
265,65
266,76
267,89
268,104
269,121
270,53
271,54
272,57
273,62
274,69
275,78
276,89
277,102
278,117
279,134
280,68
281,69
282,72
283,77
284,84
285,93
286,104
287,117
288,132
289,149
290,85
291,86
292,89
293,94
294,101
295,110
296,121
297,134
298,149
299,166
300,9
301,10
302,13
303,18
304,25
305,34
306,45
307,58
308,73
309,90
310,10
311,11
312,14
313,19
314,26
315,35
316,46
317,59
318,74
319,91
320,13
321,14
322,17
323,22
324,29
325,38
326,49
327,62
328,77
329,94
330,18
331,19
332,22
333,27
334,34
335,43
336,54
337,67
338,82
339,99
340,25
341,26
342,29
343,34
344,41
345,50
346,61
347,74
348,89
349,106
350,34
351,35
352,38
353,43
354,50
355,59
356,70
357,83
358,98
359,115
360,45
361,46
362,49
363,54
364,61
365,70
366,81
367,94
368,109
369,126
370,58
371,59
372,62
373,67
374,74
375,83
376,94
377,107
378,122
379,139
380,73
381,74
382,77
383,82
384,89
385,98
386,109
387,122
388,137
389,154
390,90
391,91
392,94
393,99
394,106
395,115
396,126
397,139
398,154
399,171
400,16
401,17
402,20
403,25
404,32
405,41
406,52
407,65
408,80
409,97
410,17
411,18
412,21
413,26
414,33
415,42
416,53
417,66
418,81
419,98
420,20
421,21
422,24
423,29
424,36
425,45
426,56
427,69
428,84
429,101
430,25
431,26
432,29
433,34
434,41
435,50
436,61
437,74
438,89
439,106
440,32
441,33
442,36
443,41
444,48
445,57
446,68
447,81
448,96
449,113
450,41
451,42
452,45
453,50
454,57
455,66
456,77
457,90
458,105
459,122
460,52
461,53
462,56
463,61
464,68
465,77
466,88
467,101
468,116
469,133
470,65
471,66
472,69
473,74
474,81
475,90
476,101
477,114
478,129
479,146
480,80
481,81
482,84
483,89
484,96
485,105
486,116
487,129
488,144
489,161
490,97
491,98
492,101
493,106
494,113
495,122
496,133
497,146
498,161
499,178
500,25
